step,t,d,C,side,digits,norm4
229,23723221407401810067773395406734224406422519851621129450937582587039339,253077678,47446442814803620135546790813468448812845039703242258901875165427156357,d-1,71,0.07214
230,47446442814803620135546790813468448812845039703242258901875165427156357,463597074,94892885629607240271093581626936897625690079406484517803750331317909789,d-1,71,0.12980
231,94892885629607240271093581626936897625690079406484517803750331317909789,4587642,189785771259214480542187163253873795251380158812969035607500662640407221,d+1,71,0.00126
232,189785771259214480542187163253873795251380158812969035607500662640407221,568248768,379571542518428961084374326507747590502760317625938071215001325849063211,d-1,72,0.15354
233,379571542518428961084374326507747590502760317625938071215001325849063211,100025838,759143085036857922168748653015495181005520635251876142430002651798152261,d+1,72,0.02655
234,759143085036857922168748653015495181005520635251876142430002651798152261,520382838,1518286170073715844337497306030990362011041270503752284860005304116687361,d+1,72,0.13573
235,1518286170073715844337497306030990362011041270503752284860005304116687361,1421568,3036572340147431688674994612061980724022082541007504569720010608234796291,d+1,73,0.00036
236,3036572340147431688674994612061980724022082541007504569720010608234796291,5077248,6073144680294863377349989224123961448044165082015009139440021216474669831,d+1,73,0.00128
237,6073144680294863377349989224123961448044165082015009139440021216474669831,331690788,12146289360589726754699978448247922896088330164030018278880042433281030451,d-1,73,0.08210
238,12146289360589726754699978448247922896088330164030018278880042433281030451,61999746,24292578721179453509399956896495845792176660328060036557760084866624060649,d+1,74,0.01508
239,24292578721179453509399956896495845792176660328060036557760084866624060649,120224178,48585157442358907018799913792991691584353320656120073115520169733368345477,d+1,74,0.02875
240,48585157442358907018799913792991691584353320656120073115520169733368345477,433191174,97170314884717814037599827585983383168706641312240146231040339467169882129,d-1,74,0.10182
241,97170314884717814037599827585983383168706641312240146231040339467169882129,330332052,194340629769435628075199655171966766337413282624480292462080678934670096311,d+1,74,0.07632
242,194340629769435628075199655171966766337413282624480292462080678934670096311,148555158,388681259538871256150399310343933532674826565248960584924161357869488747781,d-1,75,0.03374
243,388681259538871256150399310343933532674826565248960584924161357869488747781,78803706,777362519077742512300798620687867065349653130497921169848322715739056299269,d+1,75,0.01760
244,777362519077742512300798620687867065349653130497921169848322715739056299269,75388152,1554725038155485024601597241375734130699306260995842339696645431478187986691,d-1,75,0.01655
245,1554725038155485024601597241375734130699306260995842339696645431478187986691,117962928,3109450076310970049203194482751468261398612521991684679393290862956493936311,d-1,76,0.02547
246,3109450076310970049203194482751468261398612521991684679393290862956493936311,202052526,6218900152621940098406388965502936522797225043983369358786581725913189925149,d+1,76,0.04290
247,6218900152621940098406388965502936522797225043983369358786581725913189925149,64320360,12437800305243880196812777931005873045594450087966738717573163451826444170659,d-1,76,0.01343
248,12437800305243880196812777931005873045594450087966738717573163451826444170659,57217062,24875600610487760393625555862011746091188900175933477435146326903652945558381,d+1,77,0.01175
249,24875600610487760393625555862011746091188900175933477435146326903652945558381,71522628,49751201220975520787251111724023492182377800351866954870292653807305962639391,d+1,77,0.01445
250,49751201220975520787251111724023492182377800351866954870292653807305962639391,547561446,99502402441951041574502223448046984364755600703733909740585307614612472840229,d+1,77,0.10880
251,99502402441951041574502223448046984364755600703733909740585307614612472840229,408303738,199004804883902083149004446896093968729511201407467819481170615229225353984197,d-1,77,0.07981
252,199004804883902083149004446896093968729511201407467819481170615229225353984197,11641212,398009609767804166298008893792187937459022402814935638962341230458450719609607,d-1,78,0.00224
253,398009609767804166298008893792187937459022402814935638962341230458450719609607,171889872,796019219535608332596017787584375874918044805629871277924682460916901611109087,d-1,78,0.03252
254,796019219535608332596017787584375874918044805629871277924682460916901611109087,1999131774,1592038439071216665192035575168751749836089611259742555849364921833805221349949,d-1,78,0.37212
255,1592038439071216665192035575168751749836089611259742555849364921833805221349949,156016188,3184076878142433330384071150337503499672179222519485111698729843667610598716087,d-1,79,0.02858
256,3184076878142433330384071150337503499672179222519485111698729843667610598716087,92078424,6368153756284866660768142300675006999344358445038970223397459687335221289510599,d-1,79,0.01660
257,6368153756284866660768142300675006999344358445038970223397459687335221289510599,158355210,12736307512569733321536284601350013998688716890077940446794919374670442737376409,d-1,79,0.02809
258,12736307512569733321536284601350013998688716890077940446794919374670442737376409,2841912,25472615025139466643072569202700027997377433780155880893589838749340885477594731,d-1,80,0.00050
259,25472615025139466643072569202700027997377433780155880893589838749340885477594731,671029398,50945230050278933286145138405400055994754867560311761787179677498681771626218861,d+1,80,0.11528
260,50945230050278933286145138405400055994754867560311761787179677498681771626218861,490176726,101890460100557866572290276810800111989509735120623523574359354997363543742614449,d+1,80,0.08288
261,101890460100557866572290276810800111989509735120623523574359354997363543742614449,62998800,203780920201115733144580553621600223979019470241247047148718709994727087548227699,d+1,81,0.01049
262,203780920201115733144580553621600223979019470241247047148718709994727087548227699,534483870,407561840402231466289161107243200447958038940482494094297437419989454175630939269,d-1,81,0.08757
263,407561840402231466289161107243200447958038940482494094297437419989454175630939269,16616142,815123680804462932578322214486400895916077880964988188594874839978908351278494681,d-1,81,0.00268
264,815123680804462932578322214486400895916077880964988188594874839978908351278494681,223456398,1630247361608925865156644428972801791832155761929976377189749679957816702780445761,d+1,81,0.03548
265,1630247361608925865156644428972801791832155761929976377189749679957816702780445761,28300476,3260494723217851730313288857945603583664311523859952754379499359915633405589191999,d+1,82,0.00442
266,3260494723217851730313288857945603583664311523859952754379499359915633405589191999,245927190,6520989446435703460626577715891207167328623047719905508758998719831266811424311189,d-1,82,0.03786
267,6520989446435703460626577715891207167328623047719905508758998719831266811424311189,308604072,13041978892871406921253155431782414334657246095439811017517997439662533623157226451,d-1,82,0.04678
268,13041978892871406921253155431782414334657246095439811017517997439662533623157226451,230687598,26083957785742813842506310863564828669314492190879622035035994879325067246545140501,d+1,83,0.03443
269,26083957785742813842506310863564828669314492190879622035035994879325067246545140501,311460828,52167915571485627685012621727129657338628984381759244070071989758650134493401741831,both,83,0.04578
270,52167915571485627685012621727129657338628984381759244070071989758650134493401741831,76244886,104335831142971255370025243454259314677257968763518488140143979517300268986879728549,d+1,83,0.01104
271,104335831142971255370025243454259314677257968763518488140143979517300268986879728549,104696322,208671662285942510740050486908518629354515937527036976280287959034600537973864153421,both,84,0.01493
272,208671662285942510740050486908518629354515937527036976280287959034600537973864153421,334316058,417343324571885021480100973817037258709031875054073952560575918069201075948062622901,d-1,84,0.04695
273,417343324571885021480100973817037258709031875054073952560575918069201075948062622901,5675316,834686649143770042960201947634074517418063750108147905121151836138402151896130921119,d+1,84,0.00078
274,834686649143770042960201947634074517418063750108147905121151836138402151896130921119,229639260,1669373298287540085920403895268149034836127500216295810242303672276804303792491481499,d+1,84,0.03129
275,1669373298287540085920403895268149034836127500216295810242303672276804303792491481499,156285060,3338746596575080171840807790536298069672255000432591620484607344553608607585139248059,d+1,85,0.02098
276,3338746596575080171840807790536298069672255000432591620484607344553608607585139248059,105638820,6677493193150160343681615581072596139344510000865183240969214689107217215170384134939,d+1,85,0.01397
277,6677493193150160343681615581072596139344510000865183240969214689107217215170384134939,36741882,13354986386300320687363231162145192278689020001730366481938429378214434430340805011761,d+1,85,0.00479
278,13354986386300320687363231162145192278689020001730366481938429378214434430340805011761,258367968,26709972772600641374726462324290384557378040003460732963876858756428868860681868391491,d+1,86,0.03316
279,26709972772600641374726462324290384557378040003460732963876858756428868860681868391491,67310526,53419945545201282749452924648580769114756080006921465927753717512857737721363804093509,d+1,86,0.00851
280,53419945545201282749452924648580769114756080006921465927753717512857737721363804093509,454452,106839891090402565498905849297161538229512160013842931855507435025715475442727608641471,both,86,0.00006
281,106839891090402565498905849297161538229512160013842931855507435025715475442727608641471,62670468,213679782180805130997811698594323076459024320027685863711014870051430950885455279953411,d-1,87,0.00770
282,213679782180805130997811698594323076459024320027685863711014870051430950885455279953411,889685868,427359564361610261995623397188646152918048640055371727422029740102861901770911449592691,d+1,87,0.10767
283,427359564361610261995623397188646152918048640055371727422029740102861901770911449592691,76007538,854719128723220523991246794377292305836097280110743454844059480205723803541822975192921,both,87,0.00907
