digits,t,d,side,norm4,model_mean,survival
30,700190665277435112145240564961,706506,d+1,0.00749,2121802.3,0.692151
30,142636004942946433622811081449,4138542,d+1,0.04844,2005635.1,0.131754
30,724043133594517912127978880221,10584666,d+1,0.11196,11094498.4,0.374292
30,913116642259922826832261290797,1930392,d-1,0.02013,4758365.3,0.642309
30,434717812667431614517646984291,7462578,d+1,0.08147,7503783.3,0.359787
30,953944299957849024958319164661,1886388,d+1,0.01962,5806983.2,0.698206
30,571718973725735437403492059637,3662712,d+1,0.03931,11141436.8,0.695311
30,546157502933866317142999464731,985596,d+1,0.01061,4683713.0,0.786196
30,692422339834563787490617333529,281082,d-1,0.00298,5086537.5,0.932354
30,628155320893353343552826182391,3333906,d+1,0.03558,2889429.5,0.308792
30,913520904392942892271823538209,9523968,d-1,0.09931,5274140.5,0.167445
30,106195968123911031819236770001,12168066,d+1,0.14512,5039459.1,0.095664
30,423508767902370407024849313677,138492,d+1,0.00151,5805994.9,0.968266
30,434709618092251691520841196957,6776352,d-1,0.07398,4065641.7,0.190537
30,868551025486749227516915014157,2479242,d-1,0.02593,7200931.8,0.683790
30,519663293274060237794810177129,152382,d-1,0.00165,2207625.1,0.918244
30,887551611191426509635798073577,2031102,d+1,0.02122,6878234.8,0.719946
30,336045148723358603567828567777,6392082,d-1,0.07091,2054806.6,0.050840
30,339816129116882476163290058831,2001246,d+1,0.02218,3483237.7,0.542019
30,264927181037059790586487102889,943308,d-1,0.01062,1850067.3,0.578728
30,989552377555801991651855876537,7687074,d-1,0.07977,4841019.0,0.205077
30,983531080905857087716889453351,348456,d+1,0.00362,8755726.2,0.949705
30,178690314535839842757318469817,2991744,d-1,0.03453,5625206.3,0.565944
30,437477682050876395702546921007,18582,d+1,0.00020,4641211.3,0.993657
30,148033844778995694812275241429,1390638,d+1,0.01624,4435617.2,0.705454
30,536500043254239133934915573657,14662464,d-1,0.15799,6276329.5,0.102626
30,431892220773140430125468626361,20564718,d-1,0.22459,8563090.9,0.096779
30,236238265017757517246331840479,137322,d-1,0.00156,2593310.3,0.935475
30,212698710618886002279914855159,519642,d+1,0.00593,3583172.7,0.842887
30,958995748597085008028009126267,4585812,d-1,0.04768,5648724.4,0.429564
30,272163217408759489097443621289,1728972,d-1,0.01943,2552836.5,0.489890
30,151166535397437716705026992341,6807606,d+1,0.07940,9642364.2,0.476238
30,918012284957627477331998862089,4275288,both,0.04457,2737499.1,0.210079
30,230132190331605916142550356429,6148428,d-1,0.06984,3485416.8,0.174066
30,145358291340572633402098529561,2285676,d+1,0.02672,7900900.5,0.723802
30,561098076508684859600662072877,1483044,d-1,0.01594,5615423.7,0.742665
30,365584807172946293981921503247,17105352,d-1,0.18876,5206803.9,0.043409
30,244183379004273585543630540947,7137342,d+1,0.08077,3903719.0,0.163932
30,570026480465882550631664160377,8851842,d-1,0.09503,9247037.7,0.373020
30,789895556939422565059536826769,385902,d-1,0.00406,3781600.8,0.883846
30,140285493159575540854158142931,59466,d+1,0.00070,5161770.0,0.983329
30,242980818044846830967709587471,1864296,d+1,0.02110,5369179.0,0.681799
30,538615438445327787775658762717,373062,d+1,0.00402,3588628.1,0.882027
30,343706655735309164387276972459,4703070,d+1,0.05210,3399649.0,0.248409
30,756828509465220728218190914841,22743138,both,0.23992,5847364.5,0.025351
30,249995829646840912543203396557,1885152,both,0.02130,5395602.8,0.680750
30,734601024507232423075374525947,1227972,d+1,0.01298,7180559.8,0.819999
30,783008643455967323366336486621,20038248,d-1,0.21094,9303590.3,0.121412
30,749561864005408541657075715371,2846028,d-1,0.03004,5248394.9,0.559987
30,372478660742435891106998798909,8811282,d-1,0.09712,4489429.7,0.144834
30,168466948648319560830793255091,14380908,d+1,0.16658,5860803.2,0.092377
30,615209564979128988375458325371,4552338,d-1,0.04864,4507652.3,0.354663
30,474643246037115635620133979779,398628,d-1,0.00433,3912722.8,0.884016
30,299766325579984172697295245737,21144,d-1,0.00024,2008848.1,0.984889
30,156205993173885872996099124941,5191818,d+1,0.06043,6310308.5,0.425022
30,655909006339814109786081128141,3346536,d+1,0.03562,12118425.1,0.734337
30,106040844021524886092198201267,15582564,d-1,0.18586,7517453.3,0.130858
30,678523264648960356725877769091,13870938,both,0.14731,8762110.2,0.206061
30,420520957362444864676978967447,2733552,d-1,0.02990,6279667.5,0.623764
30,676427864144739176298114285941,303996,d+1,0.00323,5878262.5,0.936678
30,417625483521658236871797755831,4702776,d+1,0.05147,5812493.3,0.430510
30,574905224072873338535212731389,2148228,d-1,0.02305,2647895.0,0.429696
30,912581804733304233083377201901,11104446,d+1,0.11580,8938033.7,0.284020
30,465415557656565443557493177759,147072,d+1,0.00160,3023783.6,0.940111
30,129026263620954787130623031651,8856786,d+1,0.10433,8256134.9,0.333800
30,585728564358252148955740835429,1391022,d+1,0.01491,5587620.0,0.754785
30,319960880494589132183509088201,3553266,d+1,0.03954,3676509.8,0.369564
30,124996858203216551888681567459,4659450,both,0.05500,2150130.5,0.119780
30,704854935882376752563521246259,222858,d-1,0.00236,5758254.2,0.950810
30,141059938884238401210978745721,7000656,d+1,0.08200,4377730.5,0.202948
30,490663669520290619731836226121,30811278,d+1,0.33385,9052384.7,0.039118
30,811473496465702353296447944187,13772064,d-1,0.14466,4078356.7,0.040036
30,385451088048451014367832589761,27181536,d+1,0.29896,11081224.3,0.092279
30,536798576546971445850966264137,3914784,d-1,0.04218,11658207.4,0.690353
30,952794950412407209098025404089,6128922,both,0.06375,2189671.6,0.067205
30,358536758018490684112123540859,523800,d+1,0.00579,2355024.8,0.776965
30,793524032046113809813909154669,1349772,d+1,0.01420,3865294.2,0.679947
30,133024159803198261170338674329,2860410,both,0.03363,2537157.4,0.316772
30,526319964610896392450876379377,8470062,d-1,0.09138,9140681.0,0.384199
30,525445931405036332055348912009,1999218,d+1,0.02157,2401789.6,0.420921
30,596740622390400146423735194139,246330,d-1,0.00264,2228209.3,0.876521
30,883052734967558972199466694159,2849388,d+1,0.02977,3570373.2,0.434760
30,728015842123629634271865642191,2410116,d+1,0.02549,6849246.3,0.679167
30,527281588351397689620370702817,465702,d-1,0.00502,7755289.8,0.927329
30,882762483146267220410963513837,9631812,d+1,0.10065,6592246.2,0.230996
30,429665447634507154721816014637,5276112,both,0.05764,6275862.4,0.417524
30,137513225280646896525944061971,414216,d+1,0.00486,3817327.5,0.877862
30,495667387177675644258170696057,2110452,d+1,0.02285,9741709.6,0.781330
30,203141866174818033396628628639,3607152,d-1,0.04129,1884163.7,0.151187
30,609987582270541825283037488807,668142,d-1,0.00714,11896739.5,0.931841
30,728740993774297772946375806501,190386,d+1,0.00201,5305337.3,0.954233
30,715685760677685670277367173219,2874978,d+1,0.03043,2233565.4,0.272123
30,975779185919464646386306845839,2017428,d-1,0.02095,2236096.2,0.393391
30,606122892277422175583187566879,1660668,d-1,0.01776,1460945.5,0.314051
30,364109499035684652255425929721,2074416,d+1,0.02290,11461564.4,0.811743
30,613558463323348140302810829749,200808,d-1,0.00215,2466254.4,0.905451
30,170699174050626339296191561937,4934544,d-1,0.05711,3511056.5,0.243343
30,513914167256838401357761112501,1778898,d+1,0.01922,2057188.3,0.407594
30,767844912675039307689694172231,3408678,d+1,0.03593,5855711.5,0.538446
30,701836112481096051191542071851,16082598,d-1,0.17045,5851709.5,0.070569
30,900340710633642716484791101337,466422,d+1,0.00487,5507484.9,0.901966
30,507344872234229890147961677457,6021372,d+1,0.06511,3370455.9,0.170397
30,956088064772872156256979057239,3688980,d+1,0.03836,2819577.0,0.266733
30,728949404170726194405454847567,11065902,d+1,0.11700,5969174.3,0.160065
30,138858125188967614113693976697,7340154,d-1,0.08607,7922360.3,0.384159
30,278838172850309295595001683367,2667264,d-1,0.02993,4026283.2,0.496897
30,683188232641785654265557658001,5154858,d-1,0.05472,3465924.1,0.225318
30,369490962753965853738853666211,994926,d+1,0.01097,2298641.6,0.624652
30,491876769274456273633458796127,9153342,both,0.09916,5443167.1,0.187908
30,716229899670433182012349042421,16131318,d+1,0.17075,6480692.2,0.089298
30,818552458142974309924427835737,4685832,both,0.04919,3743061.2,0.281371
30,978710252743560158787755996231,3698508,both,0.03840,4240264.7,0.404953
30,448406584188514807037822608697,13687992,d-1,0.14914,6020446.4,0.108676
30,973804430761857924382982125181,6089658,d+1,0.06325,7141226.5,0.412505
30,632701924082375768632317637907,4676802,d+1,0.04988,11001824.7,0.630167
30,635149833018562452747271002341,2071758,d+1,0.02209,3030859.1,0.486691
30,926487330302838825765537701789,6987252,d-1,0.07280,5497276.8,0.276319
30,220759348142171525914662667031,1666176,d+1,0.01898,6179270.2,0.738544
30,568474709874762014754155932187,3315642,d+1,0.03560,10551339.2,0.705717
30,495081872015402707655517952361,5563518,d-1,0.06025,3075492.0,0.166865
30,266925841632462682471246371989,6134802,d-1,0.06904,1792934.7,0.038306
30,728071119818257284636491036927,1943742,d+1,0.02055,9379500.0,0.789220
30,972794485940294005071527552231,9139218,d+1,0.09493,7291704.7,0.281137
30,646262276685719669708900561741,1135278,d+1,0.01209,6187334.7,0.809655
30,702674748671848319799980753477,2623572,both,0.02780,2243651.8,0.304217
30,748200500144763408362989141061,1160058,d-1,0.01225,12082758.5,0.890637
